regimen,vol_realizada_bps,spread_medio,tasa_actividad,maker_n,maker_equity_total,maker_terminal_total
tranquilo,5.792,0.013,0.949,388,1393.0,532.0
agitado,13.026,0.022,0.973,322,1826.0,164.0
